sl,text,Sentiment,Emotion,
278,@United Personal Device Entertainment system is great but with app crashing every 10/15 mins I'm glad it's free for now.,negative,Others,
279,@SouthwestAir male flight attendant on flight 3913 from Orlando to Indy was AMAZING! He needs a raise ð Had the best experience with him,positive,Joy,
280,@united why don't you ever print my known #traveler number on my ticket? Because of this I never get to use the #TSA prescreen I paid for,negative,Anger,
281,@USAirways 2 hours and 7 minutes. Just want to know I'm still in the queue...,negative,Sadness,
282,@JetBlue thanks to you customers like me stay loyal. From check in to landing.,positive,Joy,
283,@SouthwestAir No thanks. After those 25+ minutes someone did eventually help us and took care of it.,negative,Others,
284,"@USAirways now has stranded is in #Miami without updating any of the departure boards, and once they Cancelled Flightled the flight there was no...",negative,Sadness,
285,â@united: @rikrik__ What made you come to this? Can we help you with anything? ^JPâ the service just hasn't been great.,negative,Sadness,
286,@AmericanAir you have a company policy that refuses employees to speak to other employees over the phone? Interesting,negative,Others,
287,@SouthwestAir it was this one but looks like the problem is now fixed. https://t.co/CFI1E3KXA9,negative,Others,
288,@USAirways thanks for Cancelled Flighting flight 5097 today. Now missing required training. Not a happy customer.,negative,Sadness,
289,@VirginAmerica wow this just blew my mind,positive,Joy,
290,@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :),positive,Joy,
291,@USAirways now you don't know where my luggage is?  Seriously?,negative,Anger,
292,"@united you should change your name to United Incompetence. No flight until Monday, have to take a 7 hour drive now to get to my flight!",negative,Anger,
293,@JetBlue  any effort to fix your points system? 11 days and a call to customer service and still no account update. Chasing points is no fun,negative,Anger,
294,@united Trying to change a flight booked just 6 hours ago but online system is charging me $200 fee per passenger... could you please help?,negative,Sadness,
295,@united thanks for updating me about the 1+ hour delay the exact second I got to ATL. ððð,positive,Joy,
296,"@united, no, your service here pretty much ruined my day, but thanks for the weak attempt",negative,Anger,
297,@southwestair thanks for taking it up a notch!! leinenkugels #craftbeer #goodflight @ Norfolkâ¦ http://t.co/TgSLjjN6g0,positive,Joy,
298,"THE END: RT @USAirways: Reminder: From 2/28, weâll be tweeting from @AmericanAir. You should join us: http://t.co/NBpCJCpEW9",neutral,Others,
299,@JetBlue Awww thank you B6! Glad to hear it!  Made my day! &amp; one last question do you have any idea what tail is operating flt 606 2maro? :),positive,Joy,
300,@united We waited 40 min for our bags after a 45 min flight #nomorecheckedbags,negative,Sadness,
301,@VirginAmerica do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt;/3,neutral,Others,
302,@SouthwestAir tv stream means I get to spend my flight watching 1999 and 2011 Women's World Cup Finals. #throwback #bestflightever,positive,Joy,
303,@USAirways YOU ARE AMAZING!!! YOU ARE THE BEST!!! FOLLOW ME PLEASE AND I FOLLOW YOU BACK;)ðððâï¸ð),positive,Joy,
304,@JetBlue Thank you. Fingers crossed.,positive,Joy,
305,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Times Colonist http://t.co/NzDXRvszWv,neutral,Others,
306,"@AmericanAir yep,filed a claim at Heathrow yesterday. We were promised a call this morning with an update, but got nothing.",negative,Anger,
307,Oh yeah? RT @JetBlue: Our fleet's on fleek. http://t.co/FTv2NWWQF1â,neutral,Others,
308,"@USAirways Customer service is dead. Last wk, flts delayed/Cancelled Flighted. Bags lost 4 days. Last nt, flt delayed/Cancelled Flighted.  No meal voucher?",negative,Sadness,
309,@SouthwestAir everyones flights who were Cancelled Flightled today DESERVE 1,negative,Others,
310,"@AmericanAir I made my flight but then still had no update emails when I landed, no info ever sent on that or second flight. Losing my biz.",negative,Anger,
311,â@JetBlue: Our fleet's on fleek. http://t.co/tEjrN09tfwâ NOOOOOOOOOOOOOOOOOO,neutral,Others,
312,"@AmericanAir 

Late Flight from phoenix, gave ticks away when arrived chicago, held bags hostage chicago, rented van drove to toledo. 5 hr drive.",negative,Anger,
313,@united Q: Just purchased ticket to #Hawaii for trip in Late Flight-March. Does this mean we will acquire miles based on price or distance flown?,neutral,Others,
314,"@AmericanAir For the love of all that is holy, if your automated phone system is going to give like 8 options, give numerical shortcuts",negative,Sadness,
315,@JetBlue I flew on a flight about 3 months ago. Me and my girlfriend got away with having sex in a restroom. Is it allowed now?,neutral,Others,
316,"@AmericanAir @BoeingAirplanes I really would love to experience first class on that plane,looks stunning!",positive,Joy,
317,"@SouthwestAir horrible experience, passenger of size was 1/3 in my seat, offered $50 voucher for this by Christine C http://t.co/1xzrK66wVQ",negative,Anger,
318,@JetBlue we want room and food allowances. Agents are refusing to give us vouchers to use at rooms we book ourselves.,negative,Sadness,
319,@USAirways any updates on flight 5202 from ORF to PHL no one at gate...  ;(,negative,Sadness,
320,"@VirginAmerica
wjere is our luggage #so slow at lax",negative,Sadness,
321,@JetBlue You definitely will!,positive,Joy,
322,"@USAirways DCA-&gt;HPN, u r prof hostage takers.We stood on bus 2 plane for 25 min,now sitting on plane with no mvmt &amp; 1 announcement 4 &gt; hour!",negative,Anger,
323,@JetBlue are you ever looking for interns ?,neutral,Others,
324,"@AmericanAir @derekc21 , to my surprise  BA doesn't  have  me registered in the system , I was getting hopeful :(, Lets step it up , Okay ?",negative,Sadness,
325,@united flight 433 lets go you look like clowns no one is giving up 1st class for $500,negative,Anger,
326,"@USAirways after a grt flight to PHX last week,  tonight was terrible. 2.5 hours taxing and you give us water and crackers to compensate.",negative,Sadness,
327,"@USAirways Eh, it happens. I think I'll survive. ð Thanks!",neutral,Others,
328,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,neutral,Others,
329,@SouthwestAir Thanks a ton!,positive,Joy,
330,@JetBlue what's going on with flight 669 and how many free trips will I get from this epic inconvenience @anku http://t.co/pEUc0BMij9,negative,Sadness,
331,@JetBlue Phew!! Did it!! (Pant. Wheeze) http://t.co/ZPZ78POeON,neutral,Others,
332,@USAirways New marketing song? https://t.co/F2LFULCbQ7 let us know what you think? http://t.co/WbhbljJkS7,neutral,Others,
333,@USAirways Saddens me that my first tweet - ever - has to be a complaint about customer service.,negative,Sadness,
334,"@USAirways @nburnside26  U hate delays, too?  But u have her $$ &amp; are holding her hostage!  #GoingForGreatnessFAIL",negative,Sadness,
335,@united thanks for not letting me switch flights Bc I had a checked bag then Cancelled Flighting my flight forcing me to take another 3 hrs Late Flightr!,negative,Anger,
336,"@united yes please! I am newly married and trying to update my last name on a preexisting international flight! It seems so easy, but...",negative,Sadness,
337,@AmericanAir 3 months of straight travel ahead. Time to find new airline.,negative,Sadness,
338,@USAirways Commitment to excellence is 2b praised. Can get you to the wrong city 2 days Late Flight or the right one 3 days Late Flight. #customerservice,negative,Sadness,
339,"@united on #UA3785 tonight and told delayed due to Late Flight crew. No idea where crew coming from, your staff ++unhelpful. Any ideas?",negative,Sadness,
340,@united missing this wedding because of these delays would not be cool,negative,Sadness,
341,@USAirways @CLTDouglas slowest baggage claim ever,negative,Sadness,
342,@SouthwestAir is Flight 3113 OMA&gt;DEN on 2/21 actually Cancelled Flightled? Been on hold for over an hour and your website says conflicting messages,negative,Sadness,
343,@united how come a $27 shuttle bus from LGA to EWR has electrical power outlets but our new Airbus interiors do not? #whyjeff?,negative,Sadness,
344,"@USAirways flt 419. 2+ hrs Late Flight, baggage + 1 more hr. Now I see they delivered my suitcase wet inside &amp; out. #NotHappy",negative,Anger,
345,@JetBlue any news on flight 122 pbi-boston delay? Can we wait to arrive at airport based on reported 1 and 1/2 hour delay?,negative,Sadness,
346,@united you know what would be awesome? Providing us with complimentary entertainment on your flights. Especially those longer than 6 hours.,neutral,Others,
347,@JetBlue I'm on flight and no booze being served 30 min in... What gives? #lostrevenue #angryandsober #bachelorpartymishap,negative,Sadness,
348,@JetBlue no. Not boarding order. Someone boarded with. Service Animal which a member of my party was allergic to and because the flight was,negative,Anger,
349,@JetBlue you bet:),positive,Joy,
350,@USAirways I really appreciate there not being an easy way to get another flight when mine has been delayed over 2hrs for mechanical reasons,negative,Sadness,
351,@united 20 minutes plus to get through to a two after the first one transferred me to a spanish hotline is unacceptable!,negative,Anger,
352,@USAirways should give me free baggage for this mess,negative,Sadness,
353,@united what time should I arrive at the airport for my 6:15 am domestic flight out of San Diego?,neutral,Others,
354,@AmericanAir @dotnetnate Two hour wait for EXPs as I sit on a JFK PHX flight because US computers are down. Any shot at an LAX flight?,negative,Sadness,
355,@SouthwestAir Received awesome phone help from Jim today. Helped me switch around flights booked with points.,positive,Joy,
356,@JetBlue Let's just say #IDontWannaLiveWithoutYourLove https://t.co/i9KCgaxxFa #ItWasMintToBe #BestInClassSocial #ThankYou #Travel #Business,neutral,Others,
357,"@united so you told me to go, knowing what the issue was, only for me to go there and find out that you wonât fix it?",negative,Anger,
358,@JetBlue CCNDJP/ I can send a screen shot of the systems error if an email address is provided,negative,Others,
359,@united waiting on plane so long missed my connecting flight it left early. That's the last flight out tonight. HELP http://t.co/hBsJ2sF17h,negative,Fear,
360,"@AmericanAir flight 1388 tomorrow 5:15 am, status please, thanks",neutral,Others,
361,@united 3 hour delay plus a jetway that won't move. This biz traveler is never flying u again!,negative,Sadness,
362,@JetBlue i am here - what is your resolution?,negative,Others,
363,@jetblue you just directed me to your mobile website. Where is the direct link? GET IT TOGETHER!,negative,Anger,
364,@united why de-ice before taxing? Maybe it #makestoomuchsense ? #shouldhaveflowndelta #unitedsucks @Delta @SouthwestAir @AmericanAir,neutral,Others,
365,@USAirways according to @wtop DCA seems to be recovering nicely from yesterday's snow so why are you Cancelled Flightling flights out there?,negative,Sadness,
366,@SouthwestAir I have the DM from @SouthwestVerity if needed,neutral,Others,
367,@united And yet we still haven't left yet and I can't watch my pre-paid DirectTV. #firstworldproblems,negative,Sadness,
368,@united you're my early frontrunner for best airline! #oscars2016,positive,Joy,
369,@united #bullying in the #workforce not ok. Get gate agents 2 work as a team. 2 against 1 is never cool. #Delays #flights #UnitedAirlines,negative,Anger,
370,@SouthwestAir @poisonpill76 im in same boat.. 8am flight to Jacksonville... Get me out of here!!,negative,Sadness,
371,@Sb5551 Sounds like  @USAirways should have planned better since this weather was no surprise. Completely unacceptable wait times!!!,negative,Anger,
372,"@SouthwestAir thanks for your attention, I've been flying southwest for 3 years and haven't had this issue in the past.",positive,Joy,
373,"@JetBlue no they offered the flight (4/19), I paid, then they changed it.This is the 2nd  time you have done this to me. ruins cruise plans",negative,Anger,
374,"@united 2 hour flight from FLL to Ewr, 1242, now waiting 1 hour plus for bags, no sign yet. What gives????",negative,Sadness,
375,@AmericanAir at LAX &amp; just got off the phone w/reservations. Every flight that'd get me to BOS before 11 am tmrw is apparently unavailable ð,neutral,Others,
376,@USAirways who's in charge of your company? My wife missed her connection to CA you sent her luggage on another flight,negative,Anger,
377,"@SouthwestAir Hi! I just saw a Black History month commercial on TV &amp; Im excited! In support of this month,will you all grant me 1 free trip",positive,Joy,
378,@AmericanAir sent,neutral,Others,
379,@AmericanAir will you review your systems re notification? The website and telephone systems you have in place are clearly inadequate.,negative,Sadness,
380,@JetBlue great job getting flight 28 in 10 minutes early. Too bad we're at 50 minutes and counting waiting for our bags.,negative,Sadness,
381,"@USAirways sorry, I meant flight 4420, which was supposed to depart at 5:00, now says 6:30. What is the issue?",negative,Sadness,
382,@SouthwestAir FIND A WAY TO Cancelled Flight FLIGHT 310!!!!!!!,negative,Others,
383,"@USAirways @AmericanAir you should partner w/ a different hotel in PHL, the clarion is proving to be very difficult &amp; not customer friendly",negative,Sadness,
384,"@AmericanAir @NY_NJairports AA1224: 45 mins for Priority bags to arrive, now Late Flight for evening plans! Delta 20 min bag guarantee anyone? :(",negative,Sadness,
385,"@SouthwestAir if you're going to charge for wifi, do us all a solid and make sure it doesn't take the length of the flight to open a page",negative,Anger,
386,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,positive,Joy,
387,@JetBlue  Brazil to volunteer teaching english &amp; spanish to Poor children so they have a skills to improve their chances of a better life.,neutral,Others,
388,@united Just checking in again - what is the status of our claim.   It is going on 2 months with no attention to this?   We are very upset.,negative,Sadness,
389,"@JetBlue  Called JB 3 times!Everytime, Auto Vmsg:""your wait time should not be longer than 9 mins"" waited longer than 18 mins and no answer!",negative,Sadness,
390,"@united @perfectomobile I have to admit that not only the app is good but have lots of useful func (such the ""live"" seat map). Congrats",positive,Joy,
391,@SouthwestAir can you outline the policies for both scenarios?,neutral,Others,
392,@united is not a company that values it's customer &amp; after reading tweets to them I'm not the only one who feels that way #lostmybusiness,negative,Anger,
393,@JetBlue how about free wifi on flt 1254 out of PBI to make up for 2.5 hr delay? Treat us right.,negative,Anger,
394,@united I'm rebooked. Getting home 4 hours Late Flightr then planned. What are the chances I'll ever see my bag again? #unhappytraveler,negative,Anger,
395,@AmericanAir so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good,negative,Sadness,
396,@USAirways flight is delayed 5 hours. No reason given. Sure love flying with your airline. #whatajoke,negative,Anger,
397,@SouthwestAir Any way that I can get a receipt for a Cancelled Flightled portion of a roundtrip flight? Used the flight voucher just need receipt.,neutral,Others,
398,@AmericanAir trying to get home is beyond complicated. It's should not be this hard. Students are split up and we will not fly AA ever again,negative,Anger,
399,..... Can you not? â@JetBlue: Our fleet's on fleek. http://t.co/udPq0flIQoâ,neutral,Others,
400,@united I had to change airports to actually get a flight out when my flight from FAY was Cancelled Flightled twice. $180 taxi ride to RDU--reimburse?,negative,Anger,
401,@USAirways I cant get anyone on the phone to help with award travel.Purchased extra miles and 10 minutes Late Flightr the miles needed was raised.,negative,Sadness,
402,@JetBlue you can do better than this. And you can do better for me and all the passengers. #flight108 jfk to pwm.,negative,Anger,
403,@JetBlue 117 days maybe.,negative,Others,
404,@USAirways So frustrating because I still have not gotten them back. Why my bag was sent to NY is a mystery!  Shame on me this time!,negative,Anger,
405,@united #OrthoDoc on-call to in-flight! Glad to have been of service!,positive,Joy,
406,"@USAirways Is it possible to earn Dividend Miles for a passenger that is not me, even if I am purchasing the tickets?",neutral,Others,
407,@SouthwestAir using social business roadmap to develop intelligent path to embed social across enterprise #RaganDisney,neutral,Others,
408,@JetBlue flight 790 you had us stuck on the plane for nearly 4 hrs. Set to take off only for flight control to deny us. THE WORST SERVICE,negative,Anger,
409,@JetBlue Capital One and I explained the false fraud alert. Why did the Jet Blue representative issue me a new tkt if it wasn't resolved?,negative,Anger,
410,@united. You guys made my day. Treated me well. Thank you!!!,positive,Joy,
411,@JetBlue Has D.C. Thinking About Summer With New Nantucket Service - Broadway World http://t.co/dS22ceeEnj,neutral,Others,
412,@united FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS,negative,Anger,
413,"@AmericanAir still no reply to my email sent on 11th February. Even sent an email asking for acknowledgment that's it been recieved, nothing",negative,Sadness,
414,@USAirways @AmericanAir Your staff members are looking at me like I have two heads. Check your own websites!!! http://t.co/8Hh0c63TIe,negative,Anger,
415,@USAirways @AmericanAir on hold for 8 hours yesterday w/o speaking to an agent on hold again w/ 2 phones ~30 mins let the bashing begin...,negative,Anger,
416,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,positive,Joy,
417,@united Designed to deter people from forgetting things or to provide more storage space? The article says the latter #unfriendlyskies,negative,Sadness,
418,@southwestair I have a roundtrip ticket now and I need to change one leg of the trip (to a nearby airport) - not possible via website?,neutral,Others,
419,@united Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs. What is your logic? And WHY? Am I writing to a Machine? Human HELP required,negative,Anger,
420,"@SouthwestAir oops, Sorry, Done,",neutral,Others,
421,@united I do I was on UA 495 LAX TO DEN - we are scheduled to land LAX @ 7:38 am - please rebook to Denver - best flight,negative,Sadness,
422,@united I have those notifications yet the staff on board say that is not accurate and they have no departure time.,negative,Sadness,
423,@virginamerica Trying to make the change in advance (not just 24 hours prior)â¦tried it online earlier and it wanted $300 in change fees.,negative,Sadness,
424,@SouthwestAir and this asshole cut in front of me. Your system blows. http://t.co/7ujt8VTCpa,negative,Anger,
425,@united 768 SFO to BOS and no internet it is 2015 what gives?,negative,Sadness,
426,@united you're good. Thank you!,positive,Joy,
427,@AmericanAir thanks for the response. I know it's not your fault... But Im in ORD in T5 and hungry if you want to stop by âï¸âï¸,negative,Anger,
428,@united I would never fly United Airlines again!,negative,Anger,
429,@united thats because you didnt read my entire tweet. Wife's 12pm flight is now delayed to 6:30.  Thats 3 6+ hour flight delays in 2 weeks,negative,Anger,
430,"@USAirways ruined our honeymoon by causing us to miss our international flight, and now we are stranded.",negative,Anger,
431,@JetBlue That's not weather reLate Flightd.  You are just being nice and blaming the weather.  Airport just wasn't prepared. Investigation time.,negative,Anger,
432,"@USAirways suggest you failures make a HUGE donation to @the_USO  Charlotte, NC as THEY provided GREAT customer service today, unlike you.",negative,Anger,
433,@AmericanAir @ActingOutMgmnt Just make sure they remember to load the bags onto the plane. They Cancelled Flight the flight when they forget...,negative,Anger,
434,@USAirways the least you could do is make up for what you have caused. You are ruining people's memories! You should be ashamed!,negative,Anger,
435,"@united...lies lies lies....still sitting at the gate, have not moved an inch http://t.co/LulGnwEfFH",negative,Anger,
436,@united this is me and my partners first trip to #NYC I bought the tickets at the same time Please seat us next to each other ConF# ILC0HP,neutral,Others,
437,@united #FirstClass to #London on my way to #LondonFashionWeek #LFW15 ð ð¬ð§ð ð¬ð§ð ð¬ð§,positive,Joy,
438,@JetBlue your gif game is strong.,negative,Anger,
439,@united been on the phone for over an hour with customer service and they can't figure it out! awesome service... NOT!,negative,Sadness,
440,@USAirways Flight Booking Problems a flight using credit from a previously Cancelled Flightled flight. Can't get thru on the phone and can't book online. Help please.,negative,Sadness,
441,@USAirways your service in Philly is unacceptable. Look into better serviceâï¸ a 16 yr old shouldnt have a hard time http://t.co/WDAKTmr7Mj,negative,Sadness,
442,@united we showed up to our flight several hours early. Tried to call &amp; was on hold 15 min b/f call disconnected.,negative,Sadness,
443,@united need help. Never got tickets. Conf #ggqzqd,neutral,Others,
444,"@united Some 3rd party service known as EZEE flights. A man, who confirmed he was born in India, told me his name was Steve Wilson.",neutral,Others,
445,"@SouthwestAir Hey, friends. When I phone the A-list number your IVR hangs up on me. Multiple times. Not sure how to proceed?",negative,Sadness,
446,@USAirways I sent email to customer.relations@aa.com. Will this work?,neutral,Others,
447,"@JetBlue btw, her name was Samantha and she won over everyone on the flight",positive,Joy,
448,@americanair flight veers off icy runway at @dfwairport. Most DFW flights Cancelled Flighted Mon http://t.co/Q37pOWn6uv @Cowboycerrone figures right?,negative,Fear,
449,@SouthwestAir Do you still offer discounts on seats for children under 2? We would rather put him in a seat than in a lap!,neutral,Others,
450,@united Late Flight crew into #btv last nite delayed todays flt. Will miss connection to #cun. Why do I have to play for hotel tonight in #ewr?,negative,Sadness,
451,.@SouthwestAir she needs a wheelchair at the gate for sure. What options does she have?,neutral,Others,
452,@JetBlue status of flight 684 from MCO to LGA tomorrow?,neutral,Others,
453,@JetBlue @KyleJudah I just spoke to the baggage claim center and they gave me travel credit but will not be responsible for the cost of a,negative,Sadness,
454,@AmericanAir Another customer non service from you. If we waited for you to solve the problem we would miss the funeral. You suck!,negative,Anger,
455,"@united amazing flying over 25,000 miles on #UnitedAirlines &amp; alliance last year; still got jilted out of status! #moneyelsewhere",positive,Joy,
456,@united you really do have a culture problem. Everyone I tried to work with blamed someone else or told me how they're short staffed,negative,Anger,
457,@SouthwestAir I start a new job tomorrow &amp; you Cancelled Flight my flight (1629 BWI-LAX) and you really can't get me on another flight today ?!,negative,Anger,
458,@united this flight has been amazing. This is the best flight I have ever been on I am not kidding. Service is INCREDIBLE!,positive,Joy,
459,@USAirways thank you for continuing to be the worst airline out. Didn't need that extra hour of sleep after 29 hours of travel anyway,negative,Anger,
460,@united day 3 of this Saga maybe they'll finally make it home.Intentional or not it not gonna get them back there vacation days #badservice,negative,Anger,
461,@united yes! I'll be sending an email to customer service today.,neutral,Others,
462,"@AmericanAir So much for Status, EP and 1.5 million miles.  Revenue First class ticket and Im sitting in Coach thanks your rude CS staff",negative,Anger,
463,@JetBlue you don't remember our date Monday night back to NYC? #heartbroken,positive,Joy,
464,@united I'm try to upgrade my seats to first class but the wait time on the phone is 40 minutes... can you help?,negative,Sadness,
465,@SouthwestAir very frustrated. Bought early bird at 6:30am on day tickets were released and got mid-B ticket. Spend $50 for nothing,negative,Anger,
466,@USAirways so disappointed. Least you could do is give us access to admirals club for an hour before our flight to our wedding!,negative,Anger,
467,@SouthwestAir Another delay. Wow,negative,Anger,
468,@AmericanAir I'm sure they did. It's certainly chilly back East today! ð®,neutral,Others,
469,@JetBlue what is the reason for the delay,negative,Sadness,
470,@JetBlue ugh always know a way to my heart ðð,positive,Joy,
471,@AmericanAir why don't you have driver service to get employees to work in bad weather like hospitals etc #badmgmt #AmericanAirlines,negative,Anger,
472,@USAirways is probably losing a family of world travelers as customers due to broken processes. @AmericanAir I hope you can fix it,negative,Sadness,
473,"@JetBlue looks like their inflatable car seats got left on the plane, so I guess they'll be back sometime!! #savethoseseats",negative,Anger,
474,@SouthwestAir pleasantly surprised to be boarding my flight on time this morning at @Fly_Nashville. Good job!,positive,Joy,
475,"@AmericanAir thanks, me too",positive,Joy,
476,"@AmericanAir I sent you a DM, can you please help.",neutral,Others,
477,@SouthwestAir Any idea when the winter advisory will be posted for ATL for tomorrow (2/25)?? I'd rather get to PHL tonight.,neutral,Others,
478,@JetBlue That's why I love JetBlue! #truebluemember4life,positive,Joy,
479,@united thanks for making everyone wait in the dark for an hour while Newark tries to figure out which gate to go to. #incompetence,negative,Anger,
480,@United many people on Ua6318 are going to miss connections due to long wait time in SFO tarmac. Seriously u can't find an empty gate?,negative,Anger,
481,@JetBlue well but for now the only thng we can do is wait for someone to explain us the situation with responsibility http://t.co/ML1JaCpmch,negative,Anger,
482,@AmericanAir yes I do I am traveling to Marsh Harbor,neutral,Others,
483,.@USAirways we have no choice but to pay another $50 to go to the airport in the hopes that we will be treated better by a rep.,negative,Sadness,
484,@JetBlue just leave certain things to the kids.,neutral,Others,
485,@AmericanAir THANK YOU FOR ALL THE HELP!  :P You guys are the best.  #americanairlines #americanair,positive,Joy,
486,@JetBlue why won't the site let me book tickets for nov for jfk to kin?,negative,Sadness,
487,@USAirways can I bring a copy or photo of my baby's birth certificate for the flight? I feel uncomfortable traveling with the real thing.,neutral,Others,
488,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",negative,Anger,
489,"@SouthwestAir Ahahðððµ That is why
I love SWââ(^^)â¤",positive,Joy,
490,@united I used to be a committed #ContinentalAirlines flyer until merger. I remember now why I switched to @SouthwestAir #CommunicationFail,negative,Sadness,
491,@AmericanAir it was 639,neutral,Others,
492,"&lt;3 &lt;3 RT @SouthwestAir! @danihampton Sorry to hear about the WiFi connection, Dani. Please DM us your conf # so we can help you. Thanks!",negative,Sadness,
493,@AmericanAir I did set up notifications through AA &amp; Us airways. still nothing,negative,Sadness,
494,"@JetBlue 1st flight of the morning, flying with a toddler. Will the plane be heated to a comfortable temp before boarding starts. #ItsCold",neutral,Others,
495,@USAirways pls get me back to Tallahassee:( no one should ever have to be stranded in Gainesville for this longð,negative,Sadness,
496,"@SouthwestAir I know where that is! Alas I live far, far away now. #Books",neutral,Others,
497,@VirginAmerica help. I was On  Flight  27 from JKF tonight. seat 7C left portfolio. Need it back!!,neutral,Others,
498,@USAirways 603 &amp; 2705 DFW to PSP thank you!,positive,Joy,
499,@SouthwestAir Jason (108639) at Gate #3 in SAN made my afternoon!!! #southwestairlines #stellarservice #thanks!,positive,Joy,
500,@AmericanAir narrowly made standby...lots of snags this trip!,negative,Fear,
